Filename,Laplacian Variance,Blurry
702587.0.png,12.72,True
796583.0.png,235.79,False
1214119.0.png,83.40,True
989044.0.png,273.56,False
495762.0.png,453.56,False
1133213.0.png,6.02,True
992968.0.png,242.42,False
563097.0.png,831.56,False
2487959.0.png,66.00,True
984891.0.png,1.57,True
866018.0.png,4.14,True
1036745.0.png,40.82,True
1133061.0.png,5.56,True
679933.0.png,1568.75,False
2096697.0.png,446.70,False
2433798.0.png,509.97,False
691063.0.png,1759.38,False
623231.0.png,20.29,True
678270.0.png,733.85,False
1004799.0.png,3.19,True
703903.0.png,572.47,False
2360282.0.png,354.99,False
813105.0.png,251.94,False
504136.0.png,948.96,False
915592.0.png,638.38,False
712614.0.png,2.24,True
434825.0.png,1.83,True
515371.0.png,2376.34,False
605830.0.png,960.73,False
556881.0.png,3164.13,False
828715.0.png,524.10,False
2271996.0.png,30.01,True
1140532.0.png,4.22,True
618373.0.png,715.17,False
852722.0.png,1507.06,False
1019306.0.png,2.87,True
658003.0.png,44.32,True
1042274.0.png,614.06,False
523859.0.png,424.59,False
1480408.0.png,333.58,False
1141444.0.png,1.35,True
682865.0.png,9.26,True
1136324.0.png,5.27,True
1013249.0.png,1.69,True
1050802.0.png,1.83,True
1134692.0.png,7.76,True
2346746.0.png,321.05,False
935141.0.png,385.51,False
2274936.0.png,325.89,False
1048989.0.png,231.97,False
910967.0.png,2536.68,False
850299.0.png,20.79,True
1140975.0.png,0.20,True
2237261.0.png,374.76,False
732731.0.png,1.86,True
1015624.0.png,2.74,True
921574.0.png,294.60,False
434263.0.png,364.32,False
433957.0.png,64.47,True
463254.0.png,1040.13,False
1290135.0.png,27.53,True
1031155.0.png,307.38,False
477306.0.png,200.88,False
830733.0.png,1531.60,False
943888.0.png,4656.56,False
840462.0.png,959.08,False
1027097.0.png,470.77,False
685350.0.png,254.08,False
1187111.0.png,0.73,True
406421.0.png,74.01,True
944887.0.png,580.69,False
1286068.0.png,21.46,True
1003840.0.png,11.34,True
825988.0.png,9.39,True
846314.0.png,1116.34,False
454608.0.png,64.94,True
2278389.0.png,137.81,True
842505.0.png,376.86,False
519970.0.png,83.89,True
698331.0.png,46.15,True
1024572.0.png,1.43,True
1027625.0.png,186.13,False
971608.0.png,153.11,False
993195.0.png,2.07,True
867240.0.png,1.98,True
2311814.0.png,61.88,True
1171640.0.png,31.45,True
655286.0.png,76.44,True
938173.0.png,54.96,True
2325023.0.png,366.77,False
2207439.0.png,278.68,False
1017829.0.png,2.54,True
1133195.0.png,3.41,True
1000994.0.png,154.29,False
1259399.0.png,13.97,True
844721.0.png,8.25,True
2199896.0.png,148.16,True
1268402.0.png,56.56,True
831218.0.png,223.05,False
641590.0.png,492.78,False
840450.0.png,191.56,False
2469618.0.png,1441.45,False
1033383.0.png,1.93,True
1136857.0.png,1.70,True
699206.0.png,2.75,True
502194.0.png,112.63,True
839860.0.png,79.21,True
893993.0.png,125.82,True
952665.0.png,966.83,False
1028019.0.png,0.90,True
1001567.0.png,39.70,True
1012483.0.png,821.31,False
946949.0.png,418.44,False
1241768.0.png,46.77,True
675143.0.png,12.32,True
822872.0.png,36.09,True
615724.0.png,1255.72,False
1027701.0.png,206.19,False
498156.0.png,527.00,False
845755.0.png,134.15,True
948977.0.png,533.79,False
2219823.0.png,820.69,False
731523.0.png,2.30,True
969533.0.png,651.92,False
876144.0.png,1171.79,False
683733.0.png,33.29,True
741177.0.png,10.21,True
2372230.0.png,18.93,True
1010823.0.png,695.54,False
466734.0.png,938.07,False
1000424.0.png,2.49,True
562673.0.png,796.37,False
693641.0.png,3.94,True
2430535.0.png,1400.00,False
68086.0.png,12.42,True
721529.0.png,200.26,False
498972.0.png,10.29,True
2351188.0.png,395.67,False
2400026.0.png,502.04,False
1011172.0.png,3.11,True
805255.0.png,138.23,True
859116.0.png,319.70,False
30393.0.png,4.80,True
648244.0.png,744.41,False
2476178.0.png,1423.13,False
760668.0.png,71.28,True
907846.0.png,566.71,False
588090.0.png,146.98,True
1145585.0.png,6.02,True
927270.0.png,1.80,True
391367.0.png,40.70,True
773936.0.png,3.53,True
657321.0.png,787.08,False
2380225.0.png,92.71,True
621439.0.png,1097.51,False
1136538.0.png,1.72,True
884512.0.png,852.91,False
1140231.0.png,5.39,True
2441600.0.png,89.19,True
1011443.0.png,770.25,False
2044049.0.png,3.47,True
483285.0.png,2.59,True
1051010.0.png,1407.21,False
1029964.0.png,0.79,True
1141504.0.png,1.52,True
511566.0.png,376.08,False
874423.0.png,545.85,False
467340.0.png,194.59,False
923684.0.png,360.23,False
694948.0.png,1021.73,False
853093.0.png,1650.43,False
913267.0.png,225.05,False
569185.0.png,4.40,True
760745.0.png,139.50,True
651857.0.png,1158.20,False
1027543.0.png,121.13,True
668099.0.png,2884.66,False
1034454.0.png,2.88,True
1011016.0.png,1.99,True
1138915.0.png,9.13,True
902829.0.png,70.89,True
482560.0.png,1065.96,False
2276071.0.png,273.41,False
368509.0.png,224.86,False
879283.0.png,772.13,False
581001.0.png,133.07,True
2357734.0.png,65.82,True
659695.0.png,516.55,False
875455.0.png,98.05,True
706907.0.png,161.13,False
1019744.0.png,3.31,True
2451447.0.png,822.40,False
2163605.0.png,942.16,False
80423.0.png,1.79,True
597454.0.png,1219.76,False
909970.0.png,37.55,True
2119868.0.png,148.56,True
1030261.0.png,3.33,True
377289.0.png,36.14,True
1289491.0.png,23.41,True
